"node_from","node_to","co_occurrences"
1,199,1
1,226,1
1,241,2
1,274,3
1,50,2
1,73,1
1,135,2
1,157,1
1,163,3
1,192,2
1,204,1
1,217,2
1,227,2
1,254,2
1,266,2
1,275,3
1,276,2
1,280,1
1,81,1
1,92,3
1,126,2
1,132,1
1,165,3
1,166,1
1,181,1
1,224,1
1,278,1
1,60,3
1,137,2
1,190,1
1,80,1
1,88,1
1,90,1
1,111,2
1,215,1
1,255,1
1,269,1
1,270,2
1,272,1
1,170,2
2,258,1
3,72,1
3,82,1
3,104,1
3,170,1
3,194,1
3,242,1
3,61,1
3,113,1
3,221,1
3,222,1
3,230,1
3,231,1
3,262,1
4,139,2
4,55,3
4,98,2
4,92,3
4,114,1
4,126,3
4,138,3
4,141,3
4,288,1
5,92,2
5,181,1
5,211,2
5,217,1
5,50,1
5,138,2
5,254,2
5,208,1
6,92,1
6,276,1
6,278,1
7,92,1
8,51,1
8,113,1
8,170,6
8,189,1
8,216,4
8,244,1
8,258,1
8,82,1
8,117,1
8,66,1
8,81,2
8,111,5
8,188,2
8,59,1
8,84,3
8,131,1
8,234,1
8,235,4
8,242,4
8,60,4
8,92,6
8,101,6
8,115,2
8,123,1
8,165,5
8,187,5
8,199,2
8,246,1
8,274,6
8,70,1
8,40,2
8,218,2
8,141,3
8,217,3
8,260,1
8,266,2
8,96,2
8,102,1
8,138,3
8,178,1
8,67,1
8,219,2
8,238,2
8,255,2
8,272,1
8,88,1
8,144,1
8,163,6
8,129,1
8,133,2
8,107,1
8,190,2
8,226,2
9,49,1
9,65,1
9,113,1
9,119,1
9,160,1
9,170,6
9,171,1
9,187,5
9,189,1
9,216,4
9,230,1
9,232,1
9,242,4
9,258,1
9,273,1
9,286,1
9,86,1
9,101,6
9,147,1
9,164,1
9,188,2
9,212,2
9,221,1
9,237,1
9,256,1
9,267,1
9,284,6
9,59,1
9,77,1
9,81,2
9,93,1
9,106,2
9,183,1
9,197,2
9,214,1
9,235,4
9,240,1
9,257,1
9,274,6
9,50,4
9,69,1
9,122,1
9,210,2
9,219,2
9,229,1
9,234,1
9,263,1
9,264,1
9,60,4
9,73,2
9,76,1
9,92,6
9,111,5
9,163,6
9,165,5
9,199,2
9,246,1
9,53,1
9,251,1
9,276,3
9,87,2
9,98,3
9,130,2
9,266,2
9,40,2
9,79,1
9,167,2
9,200,1
9,217,3
9,247,1
9,78,1
9,104,2
9,120,1
9,126,3
9,138,3
9,141,3
9,270,4
9,278,1
9,83,1
9,118,1
9,124,1
9,142,1
9,175,1
9,184,1
9,205,1
9,207,2
9,255,2
9,272,1
9,47,1
9,108,2
9,133,2
9,103,1
9,107,1
9,94,1
9,121,1
9,208,1
9,228,1
9,233,1
10,50,2
10,60,3
10,92,4
10,136,2
10,173,1
10,176,2
10,213,1
10,253,1
10,274,4
10,64,1
10,84,2
10,101,3
10,137,2
10,170,3
10,186,1
10,187,3
10,217,2
10,220,1
10,243,3
10,126,3
10,138,3
10,139,2
10,142,1
10,62,2
10,197,1
10,255,2
10,148,1
10,163,4
10,238,2
10,55,4
10,97,1
10,103,1
10,107,1
10,115,1
10,129,1
10,141,3
10,165,4
10,169,1
10,190,2
10,191,1
10,209,1
10,239,2
10,75,1
10,96,2
10,111,3
10,134,1
10,207,2
10,242,2
10,254,3
10,265,1
11,50,1
11,52,1
11,55,1
11,76,1
11,85,1
11,92,1
11,111,1
11,115,1
11,136,1
11,139,1
11,149,1
11,151,1
11,159,1
11,165,1
11,170,1
11,179,1
11,187,1
11,199,1
11,239,1
11,40,1
11,235,1
12,45,1
12,281,1
12,76,1
12,163,4
12,275,4
12,52,1
12,92,4
12,50,3
12,55,4
12,165,4
12,56,4
12,60,4
12,239,2
13,92,2
13,217,2
13,266,2
13,46,1
13,185,1
13,101,2
13,158,1
14,258,1
14,131,1
