"layer_from","node_from","layer_to","node_to","trial_number","weight"
4,1,1,1,1,0.853824028541735
4,1,5,1,1,0.992191767955393
4,1,6,1,1,0.95043834059757
5,1,1,1,1,0.844756442661504
5,1,4,1,1,0.992191767955393
5,1,6,1,1,1
6,1,1,1,1,0.844602368427358
6,1,4,1,1,0.95043834059757
6,1,5,1,1,1
5,10,7,10,1,0.92375797722717
6,10,7,10,1,0.96299391606049
7,10,5,10,1,0.92375797722717
7,10,6,10,1,0.96299391606049
7,10,4,10,1,0.901628286948602
4,10,7,10,1,0.901628286948602
6,12,3,12,1,0.890714569636423
4,12,3,12,1,0.932109694280795
5,12,3,12,1,0.901156001087975
3,12,6,12,1,0.890714569636423
3,12,4,12,1,0.932109694280795
3,12,5,12,1,0.901156001087975
3,12,1,12,1,0.87645361381956
1,12,6,12,1,0.844602368427358
1,12,4,12,1,0.853824028541735
1,12,5,12,1,0.844756442661504
1,12,3,12,1,0.87645361381956
2,14,4,14,1,0.86588315293041
2,14,1,14,1,0.860990451384097
4,14,2,14,1,0.86588315293041
1,14,2,14,1,0.860990451384097
2,17,5,17,1,0.854285428133962
2,17,6,17,1,0.846852661022826
2,17,3,17,1,0.894390241787489
5,17,2,17,1,0.854285428133962
6,17,2,17,1,0.846852661022826
3,17,2,17,1,0.894390241787489
7,35,3,35,1,0.868329291910349
3,35,7,35,1,0.868329291910349
7,8,1,8,1,0.837149498987334
7,8,2,8,1,0.834515141041825
1,8,7,8,1,0.837149498987334
2,8,7,8,1,0.834515141041825
4,1,1,1,10,0.853824028541735
4,1,6,1,10,0.95043834059757
4,1,5,1,10,0.992191767955393
6,1,1,1,10,0.844602368427358
6,1,4,1,10,0.95043834059757
6,1,5,1,10,1
5,1,1,1,10,0.844756442661504
5,1,4,1,10,0.992191767955393
5,1,6,1,10,1
6,10,7,10,10,0.96299391606049
5,10,7,10,10,0.92375797722717
7,10,6,10,10,0.96299391606049
7,10,5,10,10,0.92375797722717
7,10,4,10,10,0.901628286948602
4,10,7,10,10,0.901628286948602
4,12,3,12,10,0.932109694280795
3,12,4,12,10,0.932109694280795
3,12,5,12,10,0.901156001087975
3,12,6,12,10,0.890714569636423
3,12,1,12,10,0.87645361381956
5,12,3,12,10,0.901156001087975
6,12,3,12,10,0.890714569636423
1,12,4,12,10,0.853824028541735
1,12,3,12,10,0.87645361381956
1,12,5,12,10,0.844756442661504
1,12,6,12,10,0.844602368427358
2,14,4,14,10,0.86588315293041
2,14,1,14,10,0.860990451384097
4,14,2,14,10,0.86588315293041
1,14,2,14,10,0.860990451384097
3,17,2,17,10,0.894390241787489
2,17,3,17,10,0.894390241787489
2,17,6,17,10,0.846852661022826
2,17,5,17,10,0.854285428133962
6,17,2,17,10,0.846852661022826
5,17,2,17,10,0.854285428133962
7,35,3,35,10,0.868329291910349
3,35,7,35,10,0.868329291910349
7,8,1,8,10,0.837149498987334
7,8,2,8,10,0.834515141041825
1,8,7,8,10,0.837149498987334
2,8,7,8,10,0.834515141041825
6,1,1,1,100,0.844602368427358
6,1,5,1,100,1
6,1,4,1,100,0.95043834059757
5,1,1,1,100,0.844756442661504
5,1,6,1,100,1
5,1,4,1,100,0.992191767955393
4,1,1,1,100,0.853824028541735
4,1,6,1,100,0.95043834059757
4,1,5,1,100,0.992191767955393
5,10,7,10,100,0.92375797722717
4,10,7,10,100,0.901628286948602
7,10,5,10,100,0.92375797722717
7,10,4,10,100,0.901628286948602
7,10,6,10,100,0.96299391606049
6,10,7,10,100,0.96299391606049
4,12,3,12,100,0.932109694280795
3,12,4,12,100,0.932109694280795
3,12,6,12,100,0.890714569636423
3,12,5,12,100,0.901156001087975
3,12,1,12,100,0.87645361381956
6,12,3,12,100,0.890714569636423
5,12,3,12,100,0.901156001087975
1,12,4,12,100,0.853824028541735
1,12,3,12,100,0.87645361381956
1,12,6,12,100,0.844602368427358
1,12,5,12,100,0.844756442661504
2,14,4,14,100,0.86588315293041
2,14,1,14,100,0.860990451384097
4,14,2,14,100,0.86588315293041
1,14,2,14,100,0.860990451384097
3,17,2,17,100,0.894390241787489
2,17,3,17,100,0.894390241787489
2,17,6,17,100,0.846852661022826
2,17,5,17,100,0.854285428133962
6,17,2,17,100,0.846852661022826
5,17,2,17,100,0.854285428133962
3,35,7,35,100,0.868329291910349
7,35,3,35,100,0.868329291910349
7,8,2,8,100,0.834515141041825
7,8,1,8,100,0.837149498987334
2,8,7,8,100,0.834515141041825
1,8,7,8,100,0.837149498987334
4,1,1,1,1000,0.853824028541735
4,1,6,1,1000,0.95043834059757
4,1,5,1,1000,0.992191767955393
6,1,1,1,1000,0.844602368427358
6,1,4,1,1000,0.95043834059757
6,1,5,1,1000,1
5,1,1,1,1000,0.844756442661504
5,1,4,1,1000,0.992191767955393
5,1,6,1,1000,1
4,10,7,10,1000,0.901628286948602
6,10,7,10,1000,0.96299391606049
7,10,4,10,1000,0.901628286948602
7,10,6,10,1000,0.96299391606049
7,10,5,10,1000,0.92375797722717
5,10,7,10,1000,0.92375797722717
3,12,6,12,1000,0.890714569636423
3,12,5,12,1000,0.901156001087975
3,12,4,12,1000,0.932109694280795
3,12,1,12,1000,0.87645361381956
6,12,3,12,1000,0.890714569636423
5,12,3,12,1000,0.901156001087975
4,12,3,12,1000,0.932109694280795
1,12,3,12,1000,0.87645361381956
1,12,6,12,1000,0.844602368427358
1,12,5,12,1000,0.844756442661504
1,12,4,12,1000,0.853824028541735
2,14,4,14,1000,0.86588315293041
2,14,1,14,1000,0.860990451384097
4,14,2,14,1000,0.86588315293041
1,14,2,14,1000,0.860990451384097
3,17,2,17,1000,0.894390241787489
2,17,3,17,1000,0.894390241787489
2,17,6,17,1000,0.846852661022826
2,17,5,17,1000,0.854285428133962
6,17,2,17,1000,0.846852661022826
5,17,2,17,1000,0.854285428133962
3,35,7,35,1000,0.868329291910349
7,35,3,35,1000,0.868329291910349
7,8,1,8,1000,0.837149498987334
7,8,2,8,1000,0.834515141041825
1,8,7,8,1000,0.837149498987334
2,8,7,8,1000,0.834515141041825
6,1,1,1,101,0.844602368427358
6,1,5,1,101,1
6,1,4,1,101,0.95043834059757
5,1,1,1,101,0.844756442661504
5,1,6,1,101,1
5,1,4,1,101,0.992191767955393
4,1,1,1,101,0.853824028541735
4,1,6,1,101,0.95043834059757
4,1,5,1,101,0.992191767955393
5,10,7,10,101,0.92375797722717
4,10,7,10,101,0.901628286948602
7,10,5,10,101,0.92375797722717
7,10,4,10,101,0.901628286948602
7,10,6,10,101,0.96299391606049
6,10,7,10,101,0.96299391606049
4,12,3,12,101,0.932109694280795
6,12,3,12,101,0.890714569636423
5,12,3,12,101,0.901156001087975
3,12,4,12,101,0.932109694280795
3,12,6,12,101,0.890714569636423
3,12,5,12,101,0.901156001087975
3,12,1,12,101,0.87645361381956
1,12,4,12,101,0.853824028541735
1,12,6,12,101,0.844602368427358
1,12,5,12,101,0.844756442661504
1,12,3,12,101,0.87645361381956
2,14,4,14,101,0.86588315293041
