"layer_id","module","module_size","n","Prop_sp","layer_name"
1,3,14,53,0.264150943396226,"WesternSahara"
1,4,4,35,0.114285714285714,"WesternSahara"
1,6,17,44,0.386363636363636,"WesternSahara"
1,16,5,17,0.294117647058824,"WesternSahara"
1,20,11,11,1,"WesternSahara"
1,26,1,7,0.142857142857143,"WesternSahara"
1,28,1,4,0.25,"WesternSahara"
1,29,6,6,1,"WesternSahara"
1,31,4,4,1,"WesternSahara"
1,34,3,3,1,"WesternSahara"
1,38,3,3,1,"WesternSahara"
1,41,3,3,1,"WesternSahara"
2,3,19,53,0.358490566037736,"Fuerteventura"
2,4,6,35,0.171428571428571,"Fuerteventura"
2,6,20,44,0.454545454545455,"Fuerteventura"
2,14,3,15,0.2,"Fuerteventura"
2,16,6,17,0.352941176470588,"Fuerteventura"
2,26,6,7,0.857142857142857,"Fuerteventura"
2,28,3,4,0.75,"Fuerteventura"
2,37,2,2,1,"Fuerteventura"
3,3,11,53,0.207547169811321,"GranCanaria"
3,4,6,35,0.171428571428571,"GranCanaria"
3,6,7,44,0.159090909090909,"GranCanaria"
3,7,1,29,0.0344827586206897,"GranCanaria"
3,8,1,11,0.0909090909090909,"GranCanaria"
3,14,3,15,0.2,"GranCanaria"
3,15,2,12,0.166666666666667,"GranCanaria"
3,16,6,17,0.352941176470588,"GranCanaria"
3,18,11,11,1,"GranCanaria"
3,27,5,7,0.714285714285714,"GranCanaria"
3,30,5,5,1,"GranCanaria"
3,35,2,2,1,"GranCanaria"
3,40,2,2,1,"GranCanaria"
4,2,7,34,0.205882352941176,"TenerifeSouth"
4,3,9,53,0.169811320754717,"TenerifeSouth"
4,4,3,35,0.0857142857142857,"TenerifeSouth"
4,5,12,28,0.428571428571429,"TenerifeSouth"
4,7,10,29,0.344827586206897,"TenerifeSouth"
4,8,2,11,0.181818181818182,"TenerifeSouth"
4,10,1,16,0.0625,"TenerifeSouth"
4,12,2,13,0.153846153846154,"TenerifeSouth"
4,14,3,15,0.2,"TenerifeSouth"
4,15,6,12,0.5,"TenerifeSouth"
4,17,12,12,1,"TenerifeSouth"
4,22,4,7,0.571428571428571,"TenerifeSouth"
4,25,5,5,1,"TenerifeSouth"
4,27,2,7,0.285714285714286,"TenerifeSouth"
4,32,3,3,1,"TenerifeSouth"
4,33,1,3,0.333333333333333,"TenerifeSouth"
4,39,2,2,1,"TenerifeSouth"
5,1,1,32,0.03125,"TenerifeTeno"
5,2,13,34,0.382352941176471,"TenerifeTeno"
5,4,8,35,0.228571428571429,"TenerifeTeno"
5,5,6,28,0.214285714285714,"TenerifeTeno"
5,7,10,29,0.344827586206897,"TenerifeTeno"
5,8,2,11,0.181818181818182,"TenerifeTeno"
5,10,6,16,0.375,"TenerifeTeno"
5,11,2,10,0.2,"TenerifeTeno"
5,12,6,13,0.461538461538462,"TenerifeTeno"
5,14,5,15,0.333333333333333,"TenerifeTeno"
5,15,4,12,0.333333333333333,"TenerifeTeno"
5,19,8,8,1,"TenerifeTeno"
5,21,2,8,0.25,"TenerifeTeno"
5,22,3,7,0.428571428571429,"TenerifeTeno"
5,33,2,3,0.666666666666667,"TenerifeTeno"
6,1,6,32,0.1875,"Gomera"
6,2,7,34,0.205882352941176,"Gomera"
6,4,6,35,0.171428571428571,"Gomera"
6,5,5,28,0.178571428571429,"Gomera"
6,7,8,29,0.275862068965517,"Gomera"
6,8,2,11,0.181818181818182,"Gomera"
6,9,4,11,0.363636363636364,"Gomera"
6,10,9,16,0.5625,"Gomera"
6,11,3,10,0.3,"Gomera"
6,12,5,13,0.384615384615385,"Gomera"
6,14,1,15,0.0666666666666667,"Gomera"
6,21,6,8,0.75,"Gomera"
6,24,3,3,1,"Gomera"
6,36,2,2,1,"Gomera"
7,1,25,32,0.78125,"Hierro"
7,2,7,34,0.205882352941176,"Hierro"
7,4,2,35,0.0571428571428571,"Hierro"
7,5,5,28,0.178571428571429,"Hierro"
7,8,4,11,0.363636363636364,"Hierro"
7,9,7,11,0.636363636363636,"Hierro"
7,11,5,10,0.5,"Hierro"
7,13,7,7,1,"Hierro"
7,23,3,3,1,"Hierro"
