"layer_id","module","module_size","n","Prop_sp","layer_name"
1,2,15,54,0.277777777777778,"WesternSahara"
1,3,5,34,0.147058823529412,"WesternSahara"
1,4,1,30,0.0333333333333333,"WesternSahara"
1,5,5,26,0.192307692307692,"WesternSahara"
1,7,3,18,0.166666666666667,"WesternSahara"
1,8,1,20,0.05,"WesternSahara"
1,10,17,19,0.894736842105263,"WesternSahara"
1,20,8,8,1,"WesternSahara"
1,24,1,6,0.166666666666667,"WesternSahara"
1,29,5,5,1,"WesternSahara"
1,30,4,4,1,"WesternSahara"
1,31,1,4,0.25,"WesternSahara"
1,33,3,3,1,"WesternSahara"
1,35,3,3,1,"WesternSahara"
2,1,20,62,0.32258064516129,"Fuerteventura"
2,2,16,54,0.296296296296296,"Fuerteventura"
2,3,5,34,0.147058823529412,"Fuerteventura"
2,5,5,26,0.192307692307692,"Fuerteventura"
2,7,3,18,0.166666666666667,"Fuerteventura"
2,8,1,20,0.05,"Fuerteventura"
2,10,1,19,0.0526315789473684,"Fuerteventura"
2,11,1,10,0.1,"Fuerteventura"
2,13,1,12,0.0833333333333333,"Fuerteventura"
2,23,1,6,0.166666666666667,"Fuerteventura"
2,24,1,6,0.166666666666667,"Fuerteventura"
2,28,5,5,1,"Fuerteventura"
2,31,3,4,0.75,"Fuerteventura"
2,32,2,4,0.5,"Fuerteventura"
3,1,6,62,0.0967741935483871,"GranCanaria"
3,2,9,54,0.166666666666667,"GranCanaria"
3,3,5,34,0.147058823529412,"GranCanaria"
3,4,1,30,0.0333333333333333,"GranCanaria"
3,5,5,26,0.192307692307692,"GranCanaria"
3,6,1,23,0.0434782608695652,"GranCanaria"
3,7,2,18,0.111111111111111,"GranCanaria"
3,8,1,20,0.05,"GranCanaria"
3,11,1,10,0.1,"GranCanaria"
3,12,2,14,0.142857142857143,"GranCanaria"
3,13,1,12,0.0833333333333333,"GranCanaria"
3,14,12,12,1,"GranCanaria"
3,16,3,11,0.272727272727273,"GranCanaria"
3,17,6,12,0.5,"GranCanaria"
3,18,3,9,0.333333333333333,"GranCanaria"
3,23,1,6,0.166666666666667,"GranCanaria"
3,24,1,6,0.166666666666667,"GranCanaria"
3,36,2,2,1,"GranCanaria"
4,1,8,62,0.129032258064516,"TenerifeSouth"
4,2,7,54,0.12962962962963,"TenerifeSouth"
4,3,3,34,0.0882352941176471,"TenerifeSouth"
4,4,10,30,0.333333333333333,"TenerifeSouth"
4,5,2,26,0.0769230769230769,"TenerifeSouth"
4,6,10,23,0.434782608695652,"TenerifeSouth"
4,7,3,18,0.166666666666667,"TenerifeSouth"
4,8,12,20,0.6,"TenerifeSouth"
4,11,2,10,0.2,"TenerifeSouth"
4,12,5,14,0.357142857142857,"TenerifeSouth"
4,13,1,12,0.0833333333333333,"TenerifeSouth"
4,15,1,11,0.0909090909090909,"TenerifeSouth"
4,17,3,12,0.25,"TenerifeSouth"
4,18,1,9,0.111111111111111,"TenerifeSouth"
4,23,1,6,0.166666666666667,"TenerifeSouth"
4,24,1,6,0.166666666666667,"TenerifeSouth"
4,25,4,6,0.666666666666667,"TenerifeSouth"
4,26,5,5,1,"TenerifeSouth"
4,34,3,3,1,"TenerifeSouth"
4,37,2,2,1,"TenerifeSouth"
5,1,13,62,0.209677419354839,"TenerifeTeno"
5,2,2,54,0.037037037037037,"TenerifeTeno"
5,3,8,34,0.235294117647059,"TenerifeTeno"
5,4,6,30,0.2,"TenerifeTeno"
5,5,6,26,0.230769230769231,"TenerifeTeno"
5,6,12,23,0.521739130434783,"TenerifeTeno"
5,7,2,18,0.111111111111111,"TenerifeTeno"
5,8,2,20,0.1,"TenerifeTeno"
5,10,1,19,0.0526315789473684,"TenerifeTeno"
5,11,2,10,0.2,"TenerifeTeno"
5,12,3,14,0.214285714285714,"TenerifeTeno"
5,15,2,11,0.181818181818182,"TenerifeTeno"
5,16,2,11,0.181818181818182,"TenerifeTeno"
5,17,1,12,0.0833333333333333,"TenerifeTeno"
5,18,2,9,0.222222222222222,"TenerifeTeno"
5,19,6,10,0.6,"TenerifeTeno"
5,23,1,6,0.166666666666667,"TenerifeTeno"
5,25,2,6,0.333333333333333,"TenerifeTeno"
5,27,3,6,0.5,"TenerifeTeno"
5,38,2,2,1,"TenerifeTeno"
6,1,7,62,0.112903225806452,"Gomera"
6,2,5,54,0.0925925925925926,"Gomera"
6,3,6,34,0.176470588235294,"Gomera"
6,4,7,30,0.233333333333333,"Gomera"
6,5,3,26,0.115384615384615,"Gomera"
6,7,4,18,0.222222222222222,"Gomera"
6,8,3,20,0.15,"Gomera"
6,11,2,10,0.2,"Gomera"
6,13,8,12,0.666666666666667,"Gomera"
6,15,3,11,0.272727272727273,"Gomera"
6,16,5,11,0.454545454545455,"Gomera"
6,17,2,12,0.166666666666667,"Gomera"
6,18,2,9,0.222222222222222,"Gomera"
6,19,2,10,0.2,"Gomera"
6,21,4,7,0.571428571428571,"Gomera"
6,23,1,6,0.166666666666667,"Gomera"
6,24,1,6,0.166666666666667,"Gomera"
6,32,2,4,0.5,"Gomera"
7,1,8,62,0.129032258064516,"Hierro"
7,3,2,34,0.0588235294117647,"Hierro"
7,4,5,30,0.166666666666667,"Hierro"
7,7,1,18,0.0555555555555556,"Hierro"
7,9,19,19,1,"Hierro"
7,11,2,10,0.2,"Hierro"
7,12,4,14,0.285714285714286,"Hierro"
7,13,1,12,0.0833333333333333,"Hierro"
7,15,5,11,0.454545454545455,"Hierro"
7,16,1,11,0.0909090909090909,"Hierro"
7,18,1,9,0.111111111111111,"Hierro"
7,19,2,10,0.2,"Hierro"
7,21,3,7,0.428571428571429,"Hierro"
7,22,6,6,1,"Hierro"
7,23,1,6,0.166666666666667,"Hierro"
7,24,1,6,0.166666666666667,"Hierro"
7,27,3,6,0.5,"Hierro"
