"layer_id","module","module_size","n","Prop_sp","layer_name"
1,1,14,48,0.291666666666667,"WesternSahara"
1,2,14,37,0.378378378378378,"WesternSahara"
1,3,4,21,0.19047619047619,"WesternSahara"
1,4,5,14,0.357142857142857,"WesternSahara"
1,14,1,6,0.166666666666667,"WesternSahara"
1,15,1,6,0.166666666666667,"WesternSahara"
1,16,1,6,0.166666666666667,"WesternSahara"
1,17,3,7,0.428571428571429,"WesternSahara"
1,20,1,5,0.2,"WesternSahara"
1,25,1,4,0.25,"WesternSahara"
1,27,3,7,0.428571428571429,"WesternSahara"
1,29,1,4,0.25,"WesternSahara"
1,36,8,9,0.888888888888889,"WesternSahara"
1,51,4,5,0.8,"WesternSahara"
1,52,1,4,0.25,"WesternSahara"
1,55,5,5,1,"WesternSahara"
1,78,1,2,0.5,"WesternSahara"
1,79,1,2,0.5,"WesternSahara"
1,83,3,3,1,"WesternSahara"
2,1,12,48,0.25,"Fuerteventura"
2,2,12,37,0.324324324324324,"Fuerteventura"
2,3,2,21,0.0952380952380952,"Fuerteventura"
2,4,4,14,0.285714285714286,"Fuerteventura"
2,5,1,8,0.125,"Fuerteventura"
2,10,1,6,0.166666666666667,"Fuerteventura"
2,11,1,7,0.142857142857143,"Fuerteventura"
2,12,1,6,0.166666666666667,"Fuerteventura"
2,13,1,6,0.166666666666667,"Fuerteventura"
2,14,1,6,0.166666666666667,"Fuerteventura"
2,15,1,6,0.166666666666667,"Fuerteventura"
2,16,1,6,0.166666666666667,"Fuerteventura"
2,21,1,5,0.2,"Fuerteventura"
2,25,1,4,0.25,"Fuerteventura"
2,26,1,4,0.25,"Fuerteventura"
2,27,2,7,0.285714285714286,"Fuerteventura"
2,29,1,4,0.25,"Fuerteventura"
2,30,2,8,0.25,"Fuerteventura"
2,31,1,4,0.25,"Fuerteventura"
2,47,1,3,0.333333333333333,"Fuerteventura"
2,51,1,5,0.2,"Fuerteventura"
2,52,3,4,0.75,"Fuerteventura"
2,53,2,4,0.5,"Fuerteventura"
2,54,5,5,1,"Fuerteventura"
2,61,1,2,0.5,"Fuerteventura"
2,69,1,2,0.5,"Fuerteventura"
2,71,1,2,0.5,"Fuerteventura"
2,78,1,2,0.5,"Fuerteventura"
2,80,1,2,0.5,"Fuerteventura"
2,81,1,2,0.5,"Fuerteventura"
3,1,3,48,0.0625,"GranCanaria"
3,2,5,37,0.135135135135135,"GranCanaria"
3,3,4,21,0.19047619047619,"GranCanaria"
3,4,1,14,0.0714285714285714,"GranCanaria"
3,5,1,8,0.125,"GranCanaria"
3,9,1,12,0.0833333333333333,"GranCanaria"
3,10,1,6,0.166666666666667,"GranCanaria"
3,11,2,7,0.285714285714286,"GranCanaria"
3,12,1,6,0.166666666666667,"GranCanaria"
3,13,1,6,0.166666666666667,"GranCanaria"
3,14,1,6,0.166666666666667,"GranCanaria"
3,15,1,6,0.166666666666667,"GranCanaria"
3,16,1,6,0.166666666666667,"GranCanaria"
3,17,1,7,0.142857142857143,"GranCanaria"
3,18,1,5,0.2,"GranCanaria"
3,19,2,9,0.222222222222222,"GranCanaria"
3,20,1,5,0.2,"GranCanaria"
3,21,1,5,0.2,"GranCanaria"
3,22,1,8,0.125,"GranCanaria"
3,23,1,8,0.125,"GranCanaria"
3,24,1,5,0.2,"GranCanaria"
3,26,1,4,0.25,"GranCanaria"
3,28,1,4,0.25,"GranCanaria"
3,31,1,4,0.25,"GranCanaria"
3,32,1,4,0.25,"GranCanaria"
3,33,1,7,0.142857142857143,"GranCanaria"
3,34,8,9,0.888888888888889,"GranCanaria"
3,35,2,7,0.285714285714286,"GranCanaria"
3,38,1,3,0.333333333333333,"GranCanaria"
3,39,2,4,0.5,"GranCanaria"
3,40,1,4,0.25,"GranCanaria"
3,41,1,3,0.333333333333333,"GranCanaria"
3,48,1,3,0.333333333333333,"GranCanaria"
3,50,1,3,0.333333333333333,"GranCanaria"
3,62,1,2,0.5,"GranCanaria"
3,65,1,2,0.5,"GranCanaria"
3,66,1,2,0.5,"GranCanaria"
3,67,1,2,0.5,"GranCanaria"
3,68,1,2,0.5,"GranCanaria"
3,69,1,2,0.5,"GranCanaria"
3,74,1,2,0.5,"GranCanaria"
3,81,1,2,0.5,"GranCanaria"
4,1,4,48,0.0833333333333333,"TenerifeSouth"
4,2,2,37,0.0540540540540541,"TenerifeSouth"
4,3,2,21,0.0952380952380952,"TenerifeSouth"
4,4,1,14,0.0714285714285714,"TenerifeSouth"
4,5,2,8,0.25,"TenerifeSouth"
4,6,7,20,0.35,"TenerifeSouth"
4,7,7,19,0.368421052631579,"TenerifeSouth"
4,8,4,16,0.25,"TenerifeSouth"
4,9,4,12,0.333333333333333,"TenerifeSouth"
4,10,1,6,0.166666666666667,"TenerifeSouth"
4,11,1,7,0.142857142857143,"TenerifeSouth"
4,12,1,6,0.166666666666667,"TenerifeSouth"
4,13,1,6,0.166666666666667,"TenerifeSouth"
4,14,1,6,0.166666666666667,"TenerifeSouth"
4,15,1,6,0.166666666666667,"TenerifeSouth"
4,16,1,6,0.166666666666667,"TenerifeSouth"
4,17,1,7,0.142857142857143,"TenerifeSouth"
4,18,1,5,0.2,"TenerifeSouth"
4,19,1,9,0.111111111111111,"TenerifeSouth"
