"node_from","layer_from","layer_to","node_to","weight","trial_num"
75,2,1,75,0.333333333333333,1
46,4,3,46,0.222222222222222,1
144,3,1,144,0.142857142857143,1
93,4,3,93,0.125,1
203,3,1,203,0.5,1
226,3,1,226,0.166666666666667,1
226,4,1,226,0.2,1
83,4,2,83,0.333333333333333,1
114,3,2,114,0.2,1
234,4,3,234,0.25,1
139,4,2,139,0.25,1
39,4,2,39,0.25,1
49,4,2,49,0.333333333333333,1
199,4,3,199,0.166666666666667,1
119,5,3,119,0.333333333333333,1
204,4,3,204,0.142857142857143,1
116,5,3,116,0.2,1
111,5,4,111,0.333333333333333,1
93,4,3,93,0.333333333333333,2
144,4,2,144,0.25,2
225,2,1,225,0.5,2
138,4,2,138,0.25,2
138,5,3,138,0.5,2
234,4,2,234,0.25,2
234,4,3,234,0.142857142857143,2
49,4,2,49,0.2,2
139,4,2,139,0.142857142857143,2
75,4,3,75,0.5,2
83,4,2,83,0.142857142857143,2
83,4,3,83,0.166666666666667,2
184,3,2,184,0.333333333333333,2
223,4,3,223,0.2,2
223,5,4,223,0.2,2
39,4,3,39,1,2
121,4,3,121,0.2,2
148,5,3,148,0.142857142857143,2
204,5,3,204,0.142857142857143,2
204,5,4,204,0.166666666666667,2
162,5,3,162,0.285714285714286,2
81,5,4,81,1,2
174,5,4,174,0.25,2
78,2,1,78,0.2,3
88,2,1,88,0.125,3
93,5,1,93,0.5,3
93,4,3,93,0.2,3
226,4,1,226,0.333333333333333,3
46,4,2,46,0.333333333333333,3
46,4,3,46,0.2,3
234,4,3,234,0.25,3
83,4,1,83,0.142857142857143,3
83,4,3,83,0.166666666666667,3
138,4,3,138,0.166666666666667,3
138,5,3,138,0.111111111111111,3
39,3,2,39,0.25,3
227,3,2,227,0.2,3
114,5,3,114,0.25,3
75,4,3,75,0.666666666666667,3
121,4,3,121,0.142857142857143,3
119,4,3,119,0.142857142857143,3
118,5,3,118,0.5,3
144,3,1,144,0.166666666666667,4
144,4,2,144,0.5,4
177,5,1,177,0.2,4
68,3,1,68,0.2,4
68,4,1,68,0.5,4
93,3,1,93,0.166666666666667,4
93,4,3,93,0.2,4
93,5,4,93,0.4,4
183,3,1,183,0.111111111111111,4
183,4,3,183,0.2,4
234,4,1,234,0.333333333333333,4
234,4,2,234,0.25,4
117,3,2,117,0.2,4
169,5,2,169,0.25,4
178,5,2,178,0.333333333333333,4
58,3,2,58,0.2,4
166,3,2,166,0.2,4
197,4,2,197,0.125,4
197,4,3,197,0.142857142857143,4
49,3,2,49,0.166666666666667,4
47,4,3,47,0.2,4
223,4,3,223,0.25,4
119,5,3,119,0.333333333333333,4
144,3,1,144,0.25,5
144,4,1,144,0.166666666666667,5
144,4,3,144,0.333333333333333,5
183,3,1,183,0.142857142857143,5
66,3,1,66,0.125,5
68,4,1,68,0.2,5
93,3,2,93,0.333333333333333,5
93,4,2,93,0.166666666666667,5
197,4,3,197,0.2,5
46,4,2,46,0.333333333333333,5
46,5,2,46,0.25,5
46,4,3,46,0.25,5
46,5,3,46,0.222222222222222,5
46,5,4,46,0.4,5
225,4,3,225,0.5,5
75,3,2,75,0.2,5
75,5,3,75,0.25,5
200,5,2,200,0.166666666666667,5
114,3,2,114,0.2,5
178,3,2,178,0.2,5
223,5,4,223,0.25,5
49,4,2,49,0.166666666666667,5
182,4,2,182,0.5,5
162,4,3,162,0.166666666666667,5
81,5,3,81,0.333333333333333,5
78,2,1,78,0.25,6
138,2,1,138,0.5,6
138,5,4,138,0.333333333333333,6
197,4,3,197,0.25,6
93,3,2,93,0.5,6
75,2,1,75,0.333333333333333,6
75,5,3,75,0.333333333333333,6
144,4,2,144,0.5,6
165,4,1,165,0.25,6
234,4,2,234,0.333333333333333,6
66,3,1,66,0.2,6
203,5,3,203,0.25,6
226,4,2,226,0.333333333333333,6
47,4,3,47,0.166666666666667,6
49,3,2,49,0.2,6
49,4,3,49,0.25,6
58,3,2,58,0.125,6
182,4,2,182,0.25,6
139,5,4,139,0.2,6
178,3,2,178,0.142857142857143,6
178,5,3,178,0.125,6
114,5,3,114,0.25,6
223,4,2,223,0.333333333333333,6
160,5,3,160,0.166666666666667,6
199,4,3,199,0.25,6
162,4,3,162,0.2,6
79,5,3,79,0.2,6
116,4,3,116,0.142857142857143,6
118,5,3,118,0.25,6
90,5,4,90,0.333333333333333,6
46,5,1,46,0.5,7
46,5,4,46,0.333333333333333,7
68,3,1,68,0.25,7
75,2,1,75,0.25,7
88,2,1,88,0.2,7
203,3,1,203,0.333333333333333,7
203,5,1,203,0.142857142857143,7
225,5,2,225,0.333333333333333,7
93,2,1,93,0.2,7
93,3,1,93,0.142857142857143,7
93,4,3,93,0.166666666666667,7
93,5,3,93,0.25,7
93,5,4,93,0.333333333333333,7
138,4,2,138,0.2,7
197,4,3,197,0.333333333333333,7
139,3,2,139,0.25,7
139,5,2,139,0.166666666666667,7
139,5,3,139,0.2,7
178,3,2,178,0.333333333333333,7
178,5,2,178,0.2,7
178,5,3,178,0.2,7
182,4,2,182,0.2,7
47,4,3,47,0.125,7
94,3,2,94,0.6,7
200,4,2,200,1,7
226,5,4,226,0.333333333333333,7
83,4,2,83,0.2,7
223,5,2,223,0.5,7
191,5,3,191,0.166666666666667,7
144,4,3,144,0.2,7
104,4,3,104,0.25,7
116,4,3,116,0.333333333333333,7
116,5,4,116,0.25,7
158,4,3,158,0.5,7
68,3,1,68,0.2,8
68,4,3,68,0.166666666666667,8
78,2,1,78,0.142857142857143,8
225,4,1,225,0.25,8
225,5,1,225,0.2,8
225,4,2,225,0.333333333333333,8
234,4,2,234,0.5,8
234,4,3,234,0.2,8
138,4,2,138,0.111111111111111,8
138,5,2,138,0.25,8
138,4,3,138,0.222222222222222,8
226,4,3,226,0.25,8
58,3,2,58,0.166666666666667,8
200,4,2,200,0.25,8
200,5,2,200,0.333333333333333,8
200,5,4,200,0.25,8
166,3,2,166,0.166666666666667,8
139,5,3,139,0.25,8
139,5,4,139,0.142857142857143,8
114,5,2,114,0.25,8
114,5,3,114,0.166666666666667,8
158,3,2,158,0.142857142857143,8
81,4,3,81,0.2,8
116,5,4,116,1,8
121,4,3,121,0.2,8
162,4,3,162,0.25,8
199,4,3,199,0.2,8
83,4,1,83,0.333333333333333,9
144,3,1,144,0.166666666666667,9
183,4,3,183,0.25,9
225,5,3,225,0.333333333333333,9
46,4,1,46,0.2,9
46,4,3,46,0.166666666666667,9
226,4,1,226,0.25,9
226,5,1,226,0.333333333333333,9
226,5,4,226,0.25,9
43,2,1,43,0.25,9
68,3,1,68,0.222222222222222,9
197,4,2,197,0.333333333333333,9
75,3,2,75,0.25,9
200,4,2,200,0.2,9
49,3,2,49,0.166666666666667,9
223,4,3,223,0.142857142857143,9
223,5,3,223,0.1,9
184,3,2,184,0.25,9
36,3,2,36,0.166666666666667,9
158,4,3,158,0.125,9
47,4,3,47,0.25,9
116,5,3,116,0.2,9
204,4,3,204,0.166666666666667,9
199,4,3,199,0.2,9
191,5,3,191,0.25,9
119,5,4,119,1,9
93,4,2,93,0.4,10
183,4,1,183,0.2,10
46,3,1,46,0.2,10
46,4,1,46,0.2,10
46,3,2,46,0.333333333333333,10
124,4,1,124,0.5,10
225,5,1,225,0.333333333333333,10
225,4,3,225,0.333333333333333,10
226,3,2,226,0.5,10
83,4,2,83,0.333333333333333,10
83,4,3,83,0.2,10
78,2,1,78,0.2,10
139,4,2,139,0.142857142857143,10
139,5,2,139,0.333333333333333,10
139,5,4,139,0.333333333333333,10
144,4,2,144,0.166666666666667,10
182,4,2,182,0.25,10
227,3,2,227,0.125,10
108,3,2,108,0.2,10
200,5,4,200,0.2,10
81,4,3,81,0.285714285714286,10
104,4,3,104,0.2,10
148,5,3,148,0.25,10
199,4,3,199,0.25,10
214,5,4,214,0.166666666666667,10
46,3,2,46,0.25,11
46,4,2,46,0.25,11
183,4,1,183,0.166666666666667,11
203,5,1,203,0.25,11
75,4,2,75,0.125,11
83,3,2,83,0.2,11
83,4,3,83,0.2,11
225,4,3,225,0.333333333333333,11
39,3,2,39,0.2,11
108,3,2,108,0.166666666666667,11
117,3,2,117,0.166666666666667,11
117,5,2,117,0.2,11
166,3,2,166,0.25,11
197,4,3,197,0.142857142857143,11
200,5,2,200,0.333333333333333,11
114,3,2,114,0.125,11
114,5,2,114,0.25,11
182,4,2,182,0.25,11
158,4,2,158,0.142857142857143,11
223,5,3,223,0.166666666666667,11
139,5,3,139,0.25,11
81,4,3,81,0.25,11
81,5,3,81,0.666666666666667,11
81,5,4,81,0.333333333333333,11
116,5,3,116,0.2,11
204,5,3,204,0.2,11
204,5,4,204,0.4,11
160,5,3,160,0.5,11
119,4,3,119,0.333333333333333,11
174,5,4,174,0.5,11
75,2,1,75,0.142857142857143,12
75,3,1,75,0.2,12
75,4,2,75,0.666666666666667,12
83,4,1,83,0.333333333333333,12
186,4,1,186,0.4,12
225,4,3,225,0.1,12
93,4,1,93,0.25,12
93,4,2,93,0.2,12
93,5,2,93,0.25,12
93,5,4,93,0.25,12
166,3,2,166,0.4,12
170,4,2,170,0.5,12
184,3,2,184,0.5,12
226,3,2,226,0.25,12
226,4,2,226,0.25,12
227,3,2,227,0.5,12
49,4,2,49,0.166666666666667,12
178,5,3,178,0.2,12
197,4,2,197,0.2,12
197,4,3,197,0.166666666666667,12
47,4,2,47,0.5,12
144,3,2,144,0.5,12
50,4,3,50,0.125,12
118,5,3,118,0.2,12
162,5,3,162,0.166666666666667,12
81,5,3,81,0.2,12
163,5,3,163,0.333333333333333,12
123,3,1,123,0.333333333333333,13
144,5,1,144,0.333333333333333,13
183,4,1,183,0.333333333333333,13
93,4,1,93,0.25,13
234,4,2,234,1,13
46,3,2,46,0.25,13
197,4,3,197,1,13
170,4,2,170,0.25,13
226,3,2,226,0.166666666666667,13
49,4,2,49,0.125,13
223,5,3,223,0.25,13
47,3,2,47,0.25,13
47,4,2,47,0.2,13
158,4,3,158,0.2,13
200,4,2,200,0.2,13
39,4,3,39,0.125,13
116,4,3,116,0.2,13
116,5,3,116,0.2,13
163,5,3,163,0.5,13
148,5,3,148,0.2,13
174,5,4,174,0.166666666666667,13
111,5,4,111,0.2,13
46,3,2,46,0.25,14
186,4,1,186,0.166666666666667,14
234,2,1,234,0.2,14
234,4,2,234,0.333333333333333,14
234,4,3,234,0.125,14
144,3,2,144,0.25,14
144,5,2,144,0.5,14
225,4,1,225,0.25,14
225,3,2,225,0.125,14
225,4,2,225,0.2,14
203,3,1,203,0.2,14
94,3,2,94,0.25,14
197,4,3,197,0.25,14
138,5,2,138,0.2,14
200,4,2,200,0.25,14
223,5,2,223,0.5,14
139,5,4,139,0.142857142857143,14
47,4,3,47,0.2,14
108,3,2,108,0.5,14
81,5,3,81,0.25,14
119,5,4,119,0.2,14
204,4,3,204,0.2,14
148,5,3,148,0.25,14
104,4,3,104,0.2,14
83,4,2,83,0.5,15
93,2,1,93,0.25,15
93,3,1,93,0.142857142857143,15
93,4,1,93,0.25,15
93,5,1,93,0.2,15
93,5,2,93,0.666666666666667,15
93,4,3,93,0.4,15
46,5,3,46,0.333333333333333,15
225,3,1,225,0.2,15
225,3,2,225,0.125,15
225,5,4,225,0.25,15
144,5,4,144,0.5,15
203,5,3,203,0.166666666666667,15
138,4,1,138,0.5,15
158,3,2,158,0.142857142857143,15
158,4,3,158,0.166666666666667,15
39,4,3,39,0.2,15
47,3,2,47,0.166666666666667,15
182,4,2,182,0.25,15
170,4,2,170,0.2,15
36,3,2,36,0.166666666666667,15
139,4,2,139,0.2,15
81,4,3,81,0.142857142857143,15
119,4,3,119,0.142857142857143,15
119,5,3,119,0.2,15
119,5,4,119,0.2,15
162,4,3,162,0.5,15
160,5,3,160,0.25,15
121,4,3,121,0.333333333333333,15
104,5,4,104,0.2,15
214,5,4,214,0.5,15
124,4,1,124,0.25,16
197,4,1,197,0.25,16
226,4,3,226,0.2,16
225,3,2,225,0.2,16
93,5,4,93,0.5,16
138,5,4,138,0.333333333333333,16
75,5,2,75,0.166666666666667,16
47,4,2,47,0.166666666666667,16
158,4,2,158,0.333333333333333,16
49,4,3,49,0.166666666666667,16
223,3,2,223,0.142857142857143,16
223,4,2,223,0.125,16
223,5,2,223,0.125,16
223,5,4,223,0.333333333333333,16
114,3,2,114,0.142857142857143,16
184,3,2,184,0.25,16
39,4,3,39,0.166666666666667,16
81,4,3,81,0.142857142857143,16
81,5,4,81,0.25,16
