"layer_from","node_from","layer_to","node_to","trial_number"
4,1,"1",1,677
4,1,"5",1,677
4,1,"6",1,677
5,1,"1",1,677
5,1,"4",1,677
5,1,"6",1,677
6,1,"1",1,677
6,1,"4",1,677
6,1,"5",1,677
5,10,"10",10,677
5,10,"4",10,677
5,10,"7",10,677
5,10,"6",10,677
4,10,"10",10,677
4,10,"5",10,677
4,10,"7",10,677
4,10,"6",10,677
7,10,"10",10,677
7,10,"5",10,677
7,10,"4",10,677
7,10,"6",10,677
6,10,"10",10,677
6,10,"5",10,677
6,10,"4",10,677
6,10,"7",10,677
3,11,"11",11,677
3,12,"12",12,677
3,12,"6",12,677
3,12,"4",12,677
3,12,"5",12,677
3,12,"1",12,677
6,12,"12",12,677
6,12,"3",12,677
6,12,"4",12,677
6,12,"5",12,677
6,12,"1",12,677
4,12,"12",12,677
4,12,"3",12,677
4,12,"6",12,677
4,12,"5",12,677
4,12,"1",12,677
5,12,"12",12,677
5,12,"3",12,677
5,12,"6",12,677
5,12,"4",12,677
5,12,"1",12,677
1,12,"12",12,677
1,12,"3",12,677
1,12,"6",12,677
1,12,"4",12,677
1,12,"5",12,677
4,13,"13",13,677
4,13,"5",13,677
5,13,"13",13,677
5,13,"4",13,677
2,14,"14",14,677
2,14,"4",14,677
2,14,"1",14,677
4,14,"14",14,677
4,14,"2",14,677
4,14,"1",14,677
1,14,"14",14,677
1,14,"2",14,677
1,14,"4",14,677
1,15,"15",15,677
1,15,"2",15,677
2,15,"15",15,677
2,15,"1",15,677
5,16,"16",16,677
5,16,"3",16,677
5,16,"6",16,677
3,16,"16",16,677
3,16,"5",16,677
3,16,"6",16,677
6,16,"16",16,677
6,16,"5",16,677
6,16,"3",16,677
4,17,"17",17,677
4,17,"1",17,677
4,17,"2",17,677
4,17,"5",17,677
4,17,"6",17,677
4,17,"3",17,677
1,17,"17",17,677
1,17,"4",17,677
1,17,"2",17,677
1,17,"5",17,677
1,17,"6",17,677
1,17,"3",17,677
2,17,"17",17,677
2,17,"4",17,677
2,17,"1",17,677
2,17,"5",17,677
2,17,"6",17,677
2,17,"3",17,677
5,17,"17",17,677
5,17,"4",17,677
5,17,"1",17,677
5,17,"2",17,677
5,17,"6",17,677
5,17,"3",17,677
6,17,"17",17,677
6,17,"4",17,677
6,17,"1",17,677
6,17,"2",17,677
6,17,"5",17,677
6,17,"3",17,677
3,17,"17",17,677
3,17,"4",17,677
3,17,"1",17,677
3,17,"2",17,677
3,17,"5",17,677
3,17,"6",17,677
5,18,"18",18,677
3,19,"19",19,677
1,2,"2",2,677
6,20,"20",20,677
6,20,"4",20,677
4,20,"20",20,677
4,20,"6",20,677
7,21,"21",21,677
2,22,"22",22,677
4,23,"23",23,677
1,24,"24",24,677
3,25,"25",25,677
1,26,"26",26,677
1,26,"2",26,677
1,26,"3",26,677
1,26,"6",26,677
1,26,"5",26,677
1,26,"4",26,677
2,26,"26",26,677
2,26,"1",26,677
2,26,"3",26,677
2,26,"6",26,677
2,26,"5",26,677
2,26,"4",26,677
3,26,"26",26,677
3,26,"1",26,677
3,26,"2",26,677
3,26,"6",26,677
3,26,"5",26,677
3,26,"4",26,677
6,26,"26",26,677
6,26,"1",26,677
6,26,"2",26,677
6,26,"3",26,677
6,26,"5",26,677
6,26,"4",26,677
5,26,"26",26,677
5,26,"1",26,677
5,26,"2",26,677
5,26,"3",26,677
5,26,"6",26,677
5,26,"4",26,677
4,26,"26",26,677
4,26,"1",26,677
4,26,"2",26,677
4,26,"3",26,677
4,26,"6",26,677
4,26,"5",26,677
5,27,"27",27,677
1,28,"28",28,677
5,29,"29",29,677
1,3,"3",3,677
5,30,"30",30,677
7,31,"31",31,677
7,31,"5",31,677
7,31,"4",31,677
7,31,"6",31,677
5,31,"31",31,677
5,31,"7",31,677
5,31,"4",31,677
5,31,"6",31,677
4,31,"31",31,677
4,31,"7",31,677
4,31,"5",31,677
4,31,"6",31,677
6,31,"31",31,677
6,31,"7",31,677
6,31,"5",31,677
6,31,"4",31,677
2,32,"32",32,677
6,33,"33",33,677
6,33,"7",33,677
7,33,"33",33,677
7,33,"6",33,677
3,34,"34",34,677
3,34,"6",34,677
3,34,"4",34,677
6,34,"34",34,677
6,34,"3",34,677
6,34,"4",34,677
4,34,"34",34,677
4,34,"3",34,677
4,34,"6",34,677
5,35,"35",35,677
5,35,"6",35,677
5,35,"3",35,677
5,35,"7",35,677
6,35,"35",35,677
6,35,"5",35,677
6,35,"3",35,677
6,35,"7",35,677
3,35,"35",35,677
3,35,"5",35,677
3,35,"6",35,677
3,35,"7",35,677
7,35,"35",35,677
7,35,"5",35,677
7,35,"6",35,677
7,35,"3",35,677
2,36,"36",36,677
2,36,"6",36,677
6,36,"36",36,677
6,36,"2",36,677
4,37,"37",37,677
4,37,"7",37,677
7,37,"37",37,677
7,37,"4",37,677
5,38,"38",38,677
5,38,"7",38,677
5,38,"4",38,677
5,38,"3",38,677
7,38,"38",38,677
7,38,"5",38,677
7,38,"4",38,677
7,38,"3",38,677
4,38,"38",38,677
4,38,"5",38,677
4,38,"7",38,677
4,38,"3",38,677
3,38,"38",38,677
3,38,"5",38,677
3,38,"7",38,677
3,38,"4",38,677
1,39,"39",39,677
7,4,"4",4,677
7,4,"5",4,677
7,4,"6",4,677
5,4,"4",4,677
5,4,"7",4,677
5,4,"6",4,677
6,4,"4",4,677
6,4,"7",4,677
6,4,"5",4,677
5,5,"7",5,677
7,5,"5",5,677
7,5,"5",5,677
5,6,"6",6,677
4,7,"7",7,677
3,8,"8",8,677
3,8,"5",8,677
3,8,"7",8,677
3,8,"4",8,677
3,8,"2",8,677
3,8,"6",8,677
3,8,"1",8,677
5,8,"8",8,677
5,8,"3",8,677
5,8,"7",8,677
5,8,"4",8,677
5,8,"2",8,677
5,8,"6",8,677
5,8,"1",8,677
7,8,"8",8,677
7,8,"3",8,677
7,8,"5",8,677
7,8,"4",8,677
7,8,"2",8,677
7,8,"6",8,677
7,8,"1",8,677
4,8,"8",8,677
4,8,"3",8,677
4,8,"5",8,677
4,8,"7",8,677
4,8,"2",8,677
4,8,"6",8,677
4,8,"1",8,677
2,8,"8",8,677
2,8,"3",8,677
2,8,"5",8,677
2,8,"7",8,677
2,8,"4",8,677
2,8,"6",8,677
2,8,"1",8,677
6,8,"8",8,677
6,8,"3",8,677
6,8,"5",8,677
6,8,"7",8,677
6,8,"4",8,677
6,8,"2",8,677
6,8,"1",8,677
1,8,"8",8,677
1,8,"3",8,677
1,8,"5",8,677
1,8,"7",8,677
1,8,"4",8,677
1,8,"2",8,677
1,8,"6",8,677
1,9,"9",9,677
1,9,"7",9,677
1,9,"3",9,677
1,9,"2",9,677
1,9,"6",9,677
1,9,"5",9,677
1,9,"4",9,677
7,9,"9",9,677
7,9,"1",9,677
7,9,"3",9,677
7,9,"2",9,677
7,9,"6",9,677
7,9,"5",9,677
7,9,"4",9,677
3,9,"9",9,677
3,9,"1",9,677
3,9,"7",9,677
3,9,"2",9,677
3,9,"6",9,677
