"trial_number","layer_from","layer_to","turnover","distance_in_meters"
1,1,2,0.159090909090909,505.679714
1,1,3,0.236842105263158,305029.0863
1,1,4,0.175,305014.2086
1,1,5,0.194805194805195,244126.1002
1,1,6,0.134146341463415,244218.2947
1,1,7,0.188235294117647,339317.6653
1,1,8,0.128712871287129,339340.9395
1,1,9,0.130952380952381,389041.2745
1,1,10,0.182795698924731,389081.6723
1,1,11,0.277777777777778,390021.0886
1,1,12,0.19047619047619,389999.5747
1,1,13,0.186666666666667,437366.7753
1,1,14,0.205128205128205,437457.0124
1,2,3,0.120879120879121,305483.51
1,2,4,0.24390243902439,305468.5845
1,2,5,0.219512195121951,244342.8621
1,2,6,0.174418604651163,244435.1061
1,2,7,0.159574468085106,339422.5451
1,2,8,0.161904761904762,339445.9549
1,2,9,0.197674418604651,389106.7971
1,2,10,0.204081632653061,389146.973
1,2,11,0.25,390018.2084
1,2,12,0.148936170212766,389996.6073
1,2,13,0.114942528735632,437285.0066
1,2,14,0.146067415730337,437375.2712
1,3,4,0.205128205128205,67.363151
1,3,5,0.164556962025316,190517.2168
1,3,6,0.134146341463415,190493.473
1,3,7,0.134831460674157,284291.92
1,3,8,0.0961538461538462,284225.6416
1,3,9,0.130952380952381,337010.9202
1,3,10,0.182795698924731,337167.3216
1,3,11,0.15,376908.7486
1,3,12,0.162790697674419,376943.1528
1,3,13,0.155844155844156,455682.8693
1,3,14,0.189873417721519,455736.6729
1,4,5,0.277777777777778,190455.7312
1,4,6,0.223684210526316,190431.974
1,4,7,0.216867469879518,284225.063
1,4,8,0.163265306122449,284158.7826
1,4,9,0.233766233766234,336943.6391
1,4,10,0.235955056179775,337100.0413
1,4,11,0.210526315789474,376842.1066
1,4,12,0.176470588235294,376876.5125
1,4,13,0.202702702702703,455616.6148
1,4,14,0.205128205128205,455670.4165
1,5,6,0.197368421052632,95.95512
1,5,7,0.269230769230769,116498.0882
1,5,8,0.244444444444444,116473.2763
1,5,9,0.177215189873418,173827.6658
1,5,10,0.186813186813187,173938.4686
1,5,11,0.2,200279.0495
1,5,12,0.195121951219512,200296.3813
1,5,13,0.191780821917808,274321.0892
1,5,14,0.194805194805195,274386.7194
1,6,7,0.162790697674419,116448.0545
1,6,8,0.13,116423.1775
1,6,9,0.205128205128205,173779.1593
1,6,10,0.224719101123595,173890.0276
1,6,11,0.213333333333333,200252.1231
1,6,12,0.137931034482759,200269.4864
1,6,13,0.157894736842105,274306.3841
1,6,14,0.148148148148148,274371.9913
1,7,8,0.163461538461538,95.901643
1,7,9,0.186046511627907,57391.05093
1,7,10,0.193877551020408,57507.0912
1,7,11,0.164705882352941,92943.79946
1,7,12,0.215909090909091,92982.62174
1,7,13,0.230769230769231,172702.2428
1,7,14,0.216867469879518,172748.3908
1,8,9,0.15,57421.1674
1,8,10,0.171171171171171,57537.41864
1,8,11,0.166666666666667,93016.48528
1,8,12,0.142857142857143,93055.34728
1,8,13,0.159574468085106,172778.5189
1,8,14,0.128712871287129,172824.6395
1,9,10,0.233333333333333,176.725963
1,9,11,0.192307692307692,52803.77965
1,9,12,0.202380952380952,52869.02752
1,9,13,0.153846153846154,129490.6054
1,9,14,0.144578313253012,129514.9474
1,10,11,0.227272727272727,52633.94478
1,10,12,0.221052631578947,52699.21787
1,10,13,0.166666666666667,129313.8797
1,10,14,0.170212765957447,129338.2219
1,11,12,0.195121951219512,70.701802
1,11,13,0.175675675675676,80115.5239
1,11,14,0.164556962025316,80155.97026
1,12,13,0.172839506172839,80069.46551
1,12,14,0.162790697674419,80109.96825
1,13,14,0.141025641025641,93.399466
2,1,2,0.186046511627907,505.679714
2,1,3,0.189873417721519,305029.0863
2,1,4,0.1625,305014.2086
2,1,5,0.192307692307692,244126.1002
2,1,6,0.177215189873418,244218.2947
2,1,7,0.216867469879518,339317.6653
2,1,8,0.212765957446809,339340.9395
2,1,9,0.233766233766234,389041.2745
2,1,10,0.233333333333333,389081.6723
2,1,11,0.243243243243243,390021.0886
2,1,12,0.207317073170732,389999.5747
2,1,13,0.155844155844156,437366.7753
2,1,14,0.217948717948718,437457.0124
2,2,3,0.159090909090909,305483.51
2,2,4,0.134831460674157,305468.5845
2,2,5,0.147727272727273,244342.8621
2,2,6,0.147727272727273,244435.1061
2,2,7,0.123711340206186,339422.5451
2,2,8,0.161904761904762,339445.9549
2,2,9,0.144444444444444,389106.7971
2,2,10,0.202020202020202,389146.973
2,2,11,0.176470588235294,390018.2084
2,2,12,0.202247191011236,389996.6073
2,2,13,0.127906976744186,437285.0066
2,2,14,0.157303370786517,437375.2712
2,3,4,0.134146341463415,67.363151
2,3,5,0.1625,190517.2168
2,3,6,0.148148148148148,190493.473
2,3,7,0.134831460674157,284291.92
2,3,8,0.1875,284225.6416
2,3,9,0.158536585365854,337010.9202
2,3,10,0.261363636363636,337167.3216
2,3,11,0.179487179487179,376908.7486
2,3,12,0.137931034482759,376943.1528
2,3,13,0.141025641025641,455682.8693
2,3,14,0.158536585365854,455736.6729
2,4,5,0.210526315789474,190455.7312
2,4,6,0.15,190431.974
2,4,7,0.176470588235294,284225.063
2,4,8,0.228260869565217,284158.7826
2,4,9,0.205128205128205,336943.6391
2,4,10,0.208791208791209,337100.0413
2,4,11,0.22972972972973,376842.1066
2,4,12,0.195121951219512,376876.5125
2,4,13,0.157894736842105,455616.6148
2,4,14,0.160493827160494,455670.4165
2,5,6,0.164556962025316,95.95512
2,5,7,0.176470588235294,116498.0882
2,5,8,0.21505376344086,116473.2763
2,5,9,0.175,173827.6658
2,5,10,0.195652173913043,173938.4686
2,5,11,0.246575342465753,200279.0495
2,5,12,0.180722891566265,200296.3813
2,5,13,0.142857142857143,274321.0892
2,5,14,0.253333333333333,274386.7194
2,6,7,0.19047619047619,116448.0545
2,6,8,0.177083333333333,116423.1775
2,6,9,0.160493827160494,173779.1593
2,6,10,0.195652173913043,173890.0276
2,6,11,0.181818181818182,200252.1231
2,6,12,0.166666666666667,200269.4864
2,6,13,0.157894736842105,274306.3841
2,6,14,0.189873417721519,274371.9913
2,7,8,0.163461538461538,95.901643
2,7,9,0.172413793103448,57391.05093
2,7,10,0.229166666666667,57507.0912
2,7,11,0.222222222222222,92943.79946
2,7,12,0.177777777777778,92982.62174
2,7,13,0.116279069767442,172702.2428
2,7,14,0.172413793103448,172748.3908
2,8,9,0.173469387755102,57421.1674
2,8,10,0.190909090909091,57537.41864
2,8,11,0.204301075268817,93016.48528
2,8,12,0.214285714285714,93055.34728
2,8,13,0.147368421052632,172778.5189
2,8,14,0.173469387755102,172824.6395
2,9,10,0.230769230769231,176.725963
2,9,11,0.223684210526316,52803.77965
2,9,12,0.162790697674419,52869.02752
2,9,13,0.139240506329114,129490.6054
2,9,14,0.185185185185185,129514.9474
2,10,11,0.238636363636364,52633.94478
2,10,12,0.221052631578947,52699.21787
2,10,13,0.177777777777778,129313.8797
2,10,14,0.191489361702128,129338.2219
2,11,12,0.168674698795181,70.701802
2,11,13,0.10126582278481,80115.5239
2,11,14,0.207792207792208,80155.97026
2,12,13,0.220779220779221,80069.46551
2,12,14,0.162790697674419,80109.96825
2,13,14,0.153846153846154,93.399466
3,1,2,0.211764705882353,505.679714
3,1,3,0.266666666666667,305029.0863
3,1,4,0.20253164556962,305014.2086
3,1,5,0.27027027027027,244126.1002
3,1,6,0.205128205128205,244218.2947
3,1,7,0.186046511627907,339317.6653
3,1,8,0.223404255319149,339340.9395
3,1,9,0.263157894736842,389041.2745
3,1,10,0.247191011235955,389081.6723
3,1,11,0.177215189873418,390021.0886
3,1,12,0.282051282051282,389999.5747
3,1,13,0.168831168831169,437366.7753
3,1,14,0.215189873417722,437457.0124
3,2,3,0.172413793103448,305483.51
3,2,4,0.133333333333333,305468.5845
3,2,5,0.134831460674157,244342.8621
3,2,6,0.188235294117647,244435.1061
3,2,7,0.123711340206186,339422.5451
3,2,8,0.161904761904762,339445.9549
3,2,9,0.144444444444444,389106.7971
3,2,10,0.204081632653061,389146.973
3,2,11,0.123595505617978,390018.2084
3,2,12,0.202247191011236,389996.6073
3,2,13,0.127906976744186,437285.0066
3,2,14,0.197674418604651,437375.2712
3,3,4,0.205128205128205,67.363151
3,3,5,0.223684210526316,190517.2168
3,3,6,0.134146341463415,190493.473
3,3,7,0.147727272727273,284291.92
3,3,8,0.175257731958763,284225.6416
3,3,9,0.25,337010.9202
3,3,10,0.25,337167.3216
3,3,11,0.179487179487179,376908.7486
3,3,12,0.207317073170732,376943.1528
3,3,13,0.155844155844156,455682.8693
3,3,14,0.20253164556962,455736.6729
3,4,5,0.177215189873418,190455.7312
3,4,6,0.223684210526316,190431.974
3,4,7,0.134831460674157,284225.063
3,4,8,0.117647058823529,284158.7826
