"module","node_id","layer_id","flow","type","species","size_of_module"
1,120,5,1.01942e-05,"pollinator","Cryptocephalus_gounellei",47
1,94,7,1.81661e-05,"pollinator","Cecydomyiidae_sp.",47
1,273,1,0.000471281,"pollinator","Thysanoptera_sp.",47
1,77,2,0.0003955,"pollinator","Attalus_olivensis",47
1,107,7,0.00011602,"pollinator","Chloropidae_sp._3",47
1,200,4,4.65948e-05,"pollinator","Oscinella_sp._2",47
1,251,3,8.89779e-06,"pollinator","Stenoselma_sp.",47
1,267,1,5.09493e-05,"pollinator","Themnothorax_productus",47
1,65,1,1.27373e-05,"pollinator","Arachnospila_sp.",47
1,147,1,2.54746e-05,"pollinator","Eurytoma_sp._3",47
1,184,5,1.01942e-05,"pollinator","Minotetrastichus_sp.",47
1,93,2,8.48561e-06,"pollinator","Cecidomyiidae_sp.",47
1,53,3,8.89779e-06,"pollinator","Andrena_wollastoni",47
1,59,2,0.000129072,"pollinator","Aphthona_wachnitzae",47
1,237,1,8.91613e-05,"pollinator","Sarcophagidae_sp._7",47
1,9,2,0.0186142,"plant","Euphorbia.balsamifera..m.",47
1,263,2,8.48561e-06,"pollinator","Tethinidae_sp._3",47
1,171,1,0.00019106,"pollinator","Lucilia_sp._1",47
1,47,6,0.000146785,"pollinator","Anaspis_cf._canariensis",47
1,49,1,2.54746e-05,"pollinator","Anaspis_cf._saharensis",47
1,9,3,0.0174183,"plant","Euphorbia.balsamifera..m.",47
1,272,6,0.000979352,"pollinator","Thyridanthrax_indigenus",47
1,119,1,1.27373e-05,"pollinator","Crematogaster_scutellaris",47
1,69,2,2.54568e-05,"pollinator","Asteia_caesia",47
1,9,6,0.0174033,"plant","Euphorbia.balsamifera..m.",47
1,286,1,1.27373e-05,"pollinator","Vanessa_Cardui",47
1,183,2,8.48561e-06,"pollinator","Milichiidae_sp.",47
1,232,1,7.64239e-05,"pollinator","Sarcophagidae_sp._2",47
1,142,5,0.000188291,"pollinator","Eumerus_nivariae",47
1,247,4,2.32974e-05,"pollinator","Sibinia_sericea",47
1,118,5,1.01942e-05,"pollinator","Crematogaster_alluaudi",47
1,229,2,1.69712e-05,"pollinator","Sapromyza_sp.",47
1,240,2,8.48561e-06,"pollinator","Scaptomyza_sp._2",47
1,257,2,8.48561e-06,"pollinator","Tachyagetes_aemulans",47
1,122,2,2.54568e-05,"pollinator","Cryptocephalus_nubigena",47
1,9,7,0.0168233,"plant","Euphorbia.balsamifera..m.",47
1,9,1,0.0183872,"plant","Euphorbia.balsamifera..m.",47
1,228,7,1.81661e-05,"pollinator","Rondania_insularis",47
1,9,4,0.0170649,"plant","Euphorbia.balsamifera..m.",47
1,214,2,8.48561e-06,"pollinator","Phyto_nigrobarbata",47
1,233,7,1.81661e-05,"pollinator","Sarcophagidae_sp._3",47
1,83,5,4.07768e-05,"pollinator","Bassus_sp.",47
1,9,5,0.0188508,"plant","Euphorbia.balsamifera..m.",47
1,256,1,1.27373e-05,"pollinator","Tachinidae_sp._1",47
1,205,6,1.63095e-05,"pollinator","Oxyopes_kraepelinorum",47
1,79,4,2.32974e-05,"pollinator","Attalus_ruficollis",47
1,189,1,0.00011495,"pollinator","Musca_sorbens",47
2,92,7,0.0202197,"pollinator","Camponotus_feae",8
2,29,5,9.63001e-05,"plant","Neochamaelea.pulverulenta",8
2,7,4,2.66724e-05,"plant","Ceropegia.fusca",8
2,92,6,0.0192884,"pollinator","Camponotus_feae",8
2,92,5,0.0218157,"pollinator","Camponotus_feae",8
2,92,4,0.0204485,"pollinator","Camponotus_feae",8
2,92,2,0.0136338,"pollinator","Camponotus_feae",8
2,92,3,0.0182544,"pollinator","Camponotus_feae",8
3,17,1,0.0118015,"plant","Launaea.arborescens",37
3,42,3,4.70728e-05,"pollinator","Alliophleps_elliptica",37
