"node_from","node_to","co_occurrences"
1,199,2
1,226,1
1,241,3
1,274,6
1,50,4
1,73,2
1,135,2
1,157,1
1,163,5
1,192,4
1,204,1
1,217,4
1,227,2
1,254,3
1,266,4
1,275,6
1,276,2
1,280,1
1,81,1
1,92,6
1,126,3
1,132,1
1,165,6
1,166,2
1,181,2
1,224,1
1,278,2
1,60,6
1,137,2
1,190,1
1,80,2
1,88,2
1,90,1
1,111,3
1,215,2
1,255,2
1,269,1
1,270,2
1,272,2
1,170,3
2,258,1
3,72,2
3,82,2
3,104,1
3,170,2
3,194,2
3,242,2
3,61,1
3,113,2
3,221,1
3,222,1
3,230,2
3,231,1
3,262,2
4,139,2
4,55,4
4,98,2
4,92,4
4,114,2
4,126,3
4,138,4
4,141,4
4,288,1
5,92,4
5,181,2
5,211,3
5,217,2
5,50,2
5,138,4
5,254,3
5,208,1
6,92,1
6,276,1
6,278,1
7,92,1
8,51,1
8,113,2
8,170,11
8,189,2
8,216,7
8,244,2
8,258,2
8,82,2
8,117,1
8,66,1
8,81,3
8,111,8
8,188,2
8,59,2
8,84,3
8,131,2
8,234,2
8,235,7
8,242,7
8,60,8
8,92,11
8,101,7
8,115,3
8,123,1
8,165,10
8,187,10
8,199,4
8,246,1
8,274,12
8,70,1
8,40,3
8,218,2
8,141,6
8,217,6
8,260,1
8,266,4
8,96,2
8,102,1
8,138,6
8,178,1
8,67,1
8,219,2
8,238,4
8,255,3
8,272,2
8,88,2
8,144,1
8,163,10
8,129,1
8,133,2
8,107,2
8,190,3
8,226,2
9,49,2
9,65,1
9,113,2
9,119,1
9,160,2
9,170,11
9,171,1
9,187,10
9,189,2
9,216,7
9,230,2
9,232,2
9,242,7
9,258,2
9,273,2
9,286,1
9,86,2
9,101,7
9,147,1
9,164,1
9,188,2
9,212,2
9,221,1
9,237,1
9,256,1
9,267,1
9,284,9
9,59,2
9,77,2
9,81,3
9,93,1
9,106,2
9,183,1
9,197,3
9,214,1
9,235,7
9,240,1
9,257,1
9,274,12
9,50,8
9,69,1
9,122,1
9,210,2
9,219,2
9,229,1
9,234,2
9,263,1
9,264,2
9,60,8
9,73,3
9,76,2
9,92,11
9,111,8
9,163,10
9,165,10
9,199,4
9,246,1
9,53,1
9,251,1
9,276,4
9,87,2
9,98,3
9,130,3
9,266,4
9,40,3
9,79,1
9,167,2
9,200,1
9,217,6
9,247,1
9,78,1
9,104,2
9,120,1
9,126,5
9,138,6
9,141,6
9,270,4
9,278,2
9,83,1
9,118,1
9,124,1
9,142,1
9,175,2
9,184,1
9,205,1
9,207,2
9,255,3
9,272,2
9,47,1
9,108,2
9,133,2
9,103,2
9,107,2
9,94,1
9,121,1
9,208,1
9,228,1
9,233,1
10,50,4
10,60,6
10,92,8
10,136,3
10,173,1
10,176,2
10,213,2
10,253,2
10,274,8
10,64,1
10,84,2
10,101,3
10,137,2
10,170,5
10,186,1
10,187,6
10,217,4
10,220,1
10,243,4
10,126,5
10,138,6
10,139,2
10,142,1
10,62,3
10,197,2
10,255,3
10,148,1
10,163,7
10,238,4
10,55,7
10,97,1
10,103,2
10,107,2
10,115,2
10,129,1
10,141,6
10,165,8
10,169,1
10,190,3
10,191,1
10,209,1
10,239,2
10,75,1
10,96,2
10,111,4
10,134,1
10,207,2
10,242,3
10,254,4
10,265,2
11,50,2
11,52,2
11,55,2
11,76,2
11,85,1
11,92,2
11,111,2
11,115,1
11,136,1
11,139,1
11,149,1
11,151,1
11,159,2
11,165,2
11,170,2
11,179,1
11,187,2
11,199,2
11,239,2
11,40,1
11,235,2
12,45,1
12,281,1
12,76,2
12,163,6
12,275,6
12,52,2
12,92,6
12,50,5
12,55,6
12,165,6
12,56,3
12,60,6
12,239,3
13,92,3
13,217,3
13,266,3
13,46,1
13,185,1
13,101,2
13,158,1
14,258,1
14,131,2
14,234,2
14,275,4
14,145,2
14,266,2
14,274,4
14,60,2
14,92,3
14,217,2
15,216,3
15,45,2
15,72,2
15,116,1
15,164,1
15,258,2
15,155,1
15,201,1
15,275,1
16,92,4
16,268,1
16,275,4
16,165,4
16,44,3
16,55,3
17,54,2
17,113,2
17,198,1
17,225,3
17,271,1
17,284,9
17,287,1
17,63,1
17,72,2
17,160,2
17,164,1
17,194,2
17,206,2
17,242,6
17,250,1
17,259,1
17,285,1
17,50,8
17,55,9
17,59,2
17,71,1
17,77,2
17,81,3
17,89,2
17,91,2
17,95,2
17,125,1
17,131,2
17,146,2
17,163,8
17,170,9
17,216,7
17,223,1
17,236,2
17,275,10
17,48,1
17,74,1
17,99,2
17,111,7
17,128,1
17,153,1
17,168,1
17,234,2
17,73,3
17,76,2
17,217,6
17,268,1
17,42,1
17,60,8
17,130,3
17,165,8
17,203,2
17,215,3
17,282,1
17,92,9
17,98,2
17,143,2
17,145,2
17,266,4
17,136,3
17,140,2
17,192,4
17,279,1
17,126,3
17,178,1
17,254,3
17,88,2
17,156,1
17,62,3
17,138,4
17,272,2
18,44,1
